tema,corpo
scienza,le scimmie vivono nella giungla
scienza,L'elio è un gas piu leggero dell'aria
scienza,L'effetto serra va controllato
scienza,L'uranio è un elemento radioattivo
scienza,Einstein era una scienziato
scienza,Fermi vinse il premio Nobel per la fisica
scienza,Il sole è una stella molto piccola
scienza,tre per quattro fa dodici
scienza,l'acqua si ghiaccia a temperatura zero
scienza,la temperatura del corpo umano è di 37 gradi
calcio,Cristiano Ronaldo segna in rovesciata
calcio,La Juventus vince il campionato
calcio,Lionel Messi segna su punizione
calcio,Il Liverpool vince la coppa dei campioni
calcio,In Serie A ci sono 20 squadre
calcio,Fabio Quagliarella vince la scarpa d'oro
calcio,Gasperini allena l'Atalanta
calcio,Andrea Ranocchia gioca nell'Inter
calcio,Il Milan ha segnato tanti goal
calcio,Mbappe gioca nella nazionale fracese
natura,gli alberi sempreverdi sono sempre verdi
natura,Le foglie fanno la fotosintesi
natura,I leoni vivono nella savana
natura,I rinoceronti sono in via di estinzione
natura,le scimmie sono gli animali piu intelligenti
natura,nella tundra cresce il muschio
natura,le radici nelle piante contengono le riserve
natura,l'inquinamento distrugge la natura
natura,le piante producono ossigeno
basket,per giocare a basket serve una palla
basket,I canestri da lontano valgono tre punti
basket,Kobe Bryant fu un grande cestista
basket,I giocatori di basket sono molto alti
basket,il Basket e molto popolare negli USA
basket,Jordan e il piu ricco cestista al mondo
basket,Il pallone di Basket e arancione
basket,Il Basket e uno degli sport piu seguiti al mondo
basket,Il tiro libero vale un punto
basket,Il massimo torne di Basket e l'MBA
scuola,con studio e impegno supero gli esami
scuola,trenta e il voto massimo
scuola,Analisi e un esame difficile
scuola,Dopo le medie ci sono le superiori
scuola,Matematica e la materia piu odiata
scuola,Non esistono materie difficili
scuola,Chimica e la materia piu odiata
scuola,Mi mancano molti esami scritti
scuola,Non ho mai preso un trenta
scuola,Non voglio essere bocciato quest'anno
tecnologia,internet è usato per fare tutto
tecnologia,L'Apple è una grossa multinazionale
tecnologia,Android è un sistema operativo per cellulari
tecnologia,Il mio smartphone si è rotto
tecnologia,Window è un sistema operativo che non funziona
tecnologia,Intel è un marchio di processori
tecnologia,Nvidia è un marchio di schede grafiche
tecnologia,Java è un linguaggio di programmazione
tecnologia,L'intelligenza artificiale è ancora in fase di sviluppo
tecnologia,La risoluzione di uno schermo è importante per me
